"","Phase","species","Competition_treatment","pair_code","competitive_rank","sample_size","trait","RII","RII_se","ITV","ITV_se"
"190","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",42,"Chl",-0.306634081097522,0.198054904857014,0.198719586620914,NA
"191","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",43,"Chl",-0.165569106808909,1.03504719963866,0.217801099958251,NA
"192","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",37,"Chl",-0.330327767442783,4.29304140047585,0.264763511526564,NA
"193","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",39,"LDMC",-0.20061820287413,1.61849788211075,0.0931843412147781,NA
"194","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",44,"LDMC",-0.231588784981267,1.94703746872138,0.0907031565859514,NA
"195","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",31,"LDMC",-0.340228733806371,0.427960889080374,0.123641689904742,NA
"196","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",41,"LDMC",-0.252084663493536,0.227883760265433,0.113378566946581,NA
"197","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",49,"LDMC",-0.340023730506761,0.198054904857014,0.112907175753236,NA
"198","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",40,"LDMC",-0.235505239615598,1.03504719963866,0.157926526529752,NA
"199","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",45,"LDMC",-0.0881310486499513,4.29304140047585,0.400385030411366,NA
"200","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",41,"LDMC",-0.10146734967176,1.61849788211075,0.30137780316282,NA
"201","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",44,"LDMC",-0.210393280708171,1.94703746872138,0.11849599898325,NA
"202","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"LDMC",-0.357118072953801,0.427960889080374,0.0838538871730829,NA
"203","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",44,"LDMC",-0.404847094317761,0.227883760265433,0.16168554937731,NA
"204","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",27,"LDMC",-0.00356829219354806,0.198054904857014,0.111101818653904,NA
"205","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",52,"LDMC",-0.178300675004185,1.03504719963866,0.103044069112302,NA
"206","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",42,"LDMC",-0.306634081097522,4.29304140047585,0.152383842133693,NA
"207","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",43,"LDMC",-0.165569106808909,1.61849788211075,0.091179629074637,NA
"208","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",37,"LDMC",-0.330327767442783,1.94703746872138,0.228128909228925,NA
"209","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",39,"LMA",-0.20061820287413,0.427960889080374,0.0907678416575543,NA
"210","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",44,"LMA",-0.231588784981267,0.227883760265433,0.116908990645705,NA
"211","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",31,"LMA",-0.340228733806371,0.198054904857014,0.138186622544771,NA
"212","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",41,"LMA",-0.252084663493536,1.03504719963866,0.122286830003085,NA
"213","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",49,"LMA",-0.340023730506761,4.29304140047585,0.0881806264298106,NA
"214","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",40,"LMA",-0.235505239615598,1.61849788211075,0.189049082818231,NA
"215","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",45,"LMA",-0.0881310486499513,1.94703746872138,0.190743342415408,NA
"216","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",41,"LMA",-0.10146734967176,0.427960889080374,0.172112578024769,NA
"217","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",44,"LMA",-0.210393280708171,0.227883760265433,0.117732172204762,NA
"218","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"LMA",-0.357118072953801,0.198054904857014,0.0781171804271772,NA
"219","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",44,"LMA",-0.404847094317761,1.03504719963866,0.115942584297491,NA
"220","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",27,"LMA",-0.00356829219354806,4.29304140047585,0.0908173908437417,NA
"221","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",52,"LMA",-0.178300675004185,1.61849788211075,0.0908154501051372,NA
"222","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",42,"LMA",-0.306634081097522,1.94703746872138,0.171335665712661,NA
"223","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",43,"LMA",-0.165569106808909,0.427960889080374,0.073807011830109,NA
"224","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",37,"LMA",-0.330327767442783,0.227883760265433,0.206642363802505,NA
"225","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",39,"LTh",-0.20061820287413,0.198054904857014,0.0860386510121331,NA
"226","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",44,"LTh",-0.231588784981267,48.4495405496432,0.105615203586568,NA
"227","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",31,"LTh",-0.340228733806371,25.2425876459393,0.195080271521915,NA
"228","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",41,"LTh",-0.252084663493536,17.5239742150468,0.10484784804104,NA
"229","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",49,"LTh",-0.340023730506761,20.0584432307953,0.0906150160979825,NA
"230","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",40,"LTh",-0.235505239615598,15.9850061385344,0.168575103188955,NA
"231","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",45,"LTh",-0.0881310486499513,6.44873698450337,0.23063083839439,NA
"232","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",41,"LTh",-0.10146734967176,4.26265018135502,0.270308035378609,NA
"233","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",44,"LTh",-0.210393280708171,48.4495405496432,0.106750155787102,NA
"234","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"LTh",-0.357118072953801,25.2425876459393,0.157521390824634,NA
"235","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",44,"LTh",-0.404847094317761,17.5239742150468,0.190004194992959,NA
"236","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",27,"LTh",-0.00356829219354806,20.0584432307953,0.124434027966519,NA
"237","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",52,"LTh",-0.178300675004185,15.9850061385344,0.0994584908176695,NA
"238","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",42,"LTh",-0.306634081097522,6.44873698450337,0.187425866324618,NA
"239","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",43,"LTh",-0.165569106808909,4.26265018135502,0.102440534426053,NA
"240","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",37,"LTh",-0.330327767442783,48.4495405496432,0.214798182466722,NA
"241","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",39,"LTO",-0.20061820287413,25.2425876459393,0.148803092284484,NA
"242","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",44,"LTO",-0.231588784981267,17.5239742150468,0.171387410189091,NA
"243","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",31,"LTO",-0.340228733806371,20.0584432307953,0.139032342429584,NA
"244","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",41,"LTO",-0.252084663493536,15.9850061385344,0.163257711491348,NA
"245","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",49,"LTO",-0.340023730506761,6.44873698450337,0.153515101726605,NA
"246","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",40,"LTO",-0.235505239615598,4.26265018135502,0.242486972919819,NA
"247","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",45,"LTO",-0.0881310486499513,48.4495405496432,0.554933007043579,NA
"248","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",41,"LTO",-0.10146734967176,25.2425876459393,0.454369107445335,NA
"249","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",44,"LTO",-0.210393280708171,17.5239742150468,0.176166289898138,NA
"250","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"LTO",-0.357118072953801,20.0584432307953,0.177782887031999,NA
"251","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",44,"LTO",-0.404847094317761,15.9850061385344,0.185502717856074,NA
"252","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",27,"LTO",-0.00356829219354806,6.44873698450337,0.244242696724428,NA
"253","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",52,"LTO",-0.178300675004185,4.26265018135502,0.200654955186744,NA
"254","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",42,"LTO",-0.306634081097522,48.4495405496432,0.226039910818345,NA
"255","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",43,"LTO",-0.165569106808909,25.2425876459393,0.185975417466763,NA
"256","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",37,"LTO",-0.330327767442783,17.5239742150468,0.15949960110826,NA
"257","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",39,"SSD",-0.20061820287413,20.0584432307953,0.249550113345246,NA
"258","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",44,"SSD",-0.231588784981267,15.9850061385344,0.228277363466333,NA
"259","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",31,"SSD",-0.340228733806371,6.44873698450337,0.199485416565816,NA
"260","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",41,"SSD",-0.252084663493536,4.26265018135502,0.232256036540576,NA
"261","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",49,"SSD",-0.340023730506761,48.4495405496432,0.220203383098892,NA
"262","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",40,"SSD",-0.235505239615598,25.2425876459393,0.281252070029316,NA
"263","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",45,"SSD",-0.0881310486499513,17.5239742150468,0.129701192066129,NA
"264","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",41,"SSD",-0.10146734967176,20.0584432307953,0.164849119948762,NA
"265","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",44,"SSD",-0.210393280708171,15.9850061385344,0.188235384651261,NA
"266","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"SSD",-0.357118072953801,6.44873698450337,0.360100917132697,NA
"267","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",44,"SSD",-0.404847094317761,4.26265018135502,0.316028111125827,NA
"268","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",27,"SSD",-0.00356829219354806,48.4495405496432,0.381107471812257,NA
"269","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",52,"SSD",-0.178300675004185,25.2425876459393,0.151523428842704,NA
"270","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",42,"SSD",-0.306634081097522,17.5239742150468,0.147156027802699,NA
"271","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",43,"SSD",-0.165569106808909,20.0584432307953,0.179945718416316,NA
"272","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",37,"SSD",-0.330327767442783,15.9850061385344,0.531923207704824,NA
"273","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",39,"SMC",-0.20061820287413,6.44873698450337,0.257637350165352,NA
"274","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",44,"SMC",-0.231588784981267,4.26265018135502,0.248356633732165,NA
"275","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",31,"SMC",-0.340228733806371,0.16781646263067,0.31757654827979,NA
"276","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",41,"SMC",-0.252084663493536,0.347393854155474,0.2158889608988,NA
"277","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",49,"SMC",-0.340023730506761,0.979104000661536,0.300904823032814,NA
"278","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",40,"SMC",-0.235505239615598,0.255865653840506,0.334390051708103,NA
"279","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",45,"SMC",-0.0881310486499513,0.269321832401235,0.219527490848245,NA
"280","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",41,"SMC",-0.10146734967176,1.80093106072393,0.310653258548263,NA
"281","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",44,"SMC",-0.210393280708171,0.0176026628977019,0.245311450676606,NA
"282","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"SMC",-0.357118072953801,0.0159050770561524,0.214266615616462,NA
"283","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",44,"SMC",-0.404847094317761,0.908068155612861,0.313357271677268,NA
"284","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",27,"SMC",-0.00356829219354806,0.0632359079681482,0.250933386700597,NA
"285","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",52,"SMC",-0.178300675004185,0.358577359984925,0.299475696624912,NA
"286","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",42,"SMC",-0.306634081097522,0.0134375762621625,0.230691535687209,NA
"287","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",43,"SMC",-0.165569106808909,0.00932755375192629,0.442602716047523,NA
"288","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",37,"SMC",-0.330327767442783,0.0441275758983597,0.256700674593331,NA
