"","Phase","species","Competition_treatment","pair_code","competitive_rank","sample_size","trait","RII","RII_se","ITV","ITV_se"
"48","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",43,"multi-traits",-0.375068429858871,1.81170829742371,136.776827122277,1.81170829742371
"49","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","all","Inferior",NA,"multi-traits",-0.351265584590523,0.514706928254868,51.2625735205314,0.514706928254868
"50","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","all","Superior",NA,"multi-traits",-0.20818105528762,0.41607350518686,13.6848411905207,0.41607350518686
"65","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"Chl",-0.20061820287413,0.16781646263067,0.116174175918661,NA
"66","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"Chl",-0.231588784981267,0.347393854155474,0.116174175918661,NA
"67","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"Chl",-0.340228733806371,0.979104000661536,0.116174175918661,NA
"68","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"Chl",-0.252084663493536,0.255865653840506,0.113985223079147,NA
"69","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"Chl",-0.340023730506761,0.269321832401235,0.113985223079147,NA
"70","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"Chl",-0.235505239615598,1.80093106072393,0.150257884906649,NA
"71","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"Chl",-0.0881310486499513,0.0176026628977019,0.240571835296552,NA
"72","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"Chl",-0.10146734967176,0.0159050770561524,0.240571835296552,NA
"73","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"Chl",-0.210393280708171,0.908068155612861,0.148906030341453,NA
"74","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"Chl",-0.357118072953801,0.0632359079681482,0.111011240466635,NA
"75","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"Chl",-0.404847094317761,0.358577359984925,0.111011240466635,NA
"76","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"Chl",-0.00356829219354806,0.0134375762621625,0.159616128870268,NA
"77","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"Chl",-0.178300675004185,0.00932755375192629,0.159616128870268,NA
"78","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"Chl",-0.306634081097522,0.0441275758983597,0.159616128870268,NA
"79","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"Chl",-0.165569106808909,0.0201398862159319,0.159616128870268,NA
"80","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"Chl",-0.330327767442783,1.81170829742371,0.248182692252192,NA
"81","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"LDMC",-0.20061820287413,0.16781646263067,0.122839173927615,NA
"82","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"LDMC",-0.231588784981267,0.347393854155474,0.122839173927615,NA
"83","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"LDMC",-0.340228733806371,0.979104000661536,0.122839173927615,NA
"84","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"LDMC",-0.252084663493536,0.255865653840506,0.0865623536531654,NA
"85","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"LDMC",-0.340023730506761,0.269321832401235,0.0865623536531654,NA
"86","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"LDMC",-0.235505239615598,1.80093106072393,0.174846973318578,NA
"87","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"LDMC",-0.0881310486499513,0.0176026628977019,0.253322492031998,NA
"88","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"LDMC",-0.10146734967176,0.0159050770561524,0.253322492031998,NA
"89","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"LDMC",-0.210393280708171,0.908068155612861,0.12452628475814,NA
"90","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"LDMC",-0.357118072953801,0.0632359079681482,0.095834921463169,NA
"91","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"LDMC",-0.404847094317761,0.358577359984925,0.095834921463169,NA
"92","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"LDMC",-0.00356829219354806,0.0134375762621625,0.0868734217828884,NA
"93","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"LDMC",-0.178300675004185,0.00932755375192629,0.0868734217828884,NA
"94","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"LDMC",-0.306634081097522,0.0441275758983597,0.0868734217828884,NA
"95","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"LDMC",-0.165569106808909,0.0201398862159319,0.0868734217828884,NA
"96","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"LDMC",-0.330327767442783,1.81170829742371,0.187640986458495,NA
"97","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"LMA",-0.20061820287413,0.16781646263067,0.126090452454893,NA
"98","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"LMA",-0.231588784981267,0.347393854155474,0.126090452454893,NA
"99","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"LMA",-0.340228733806371,0.979104000661536,0.126090452454893,NA
"100","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"LMA",-0.252084663493536,0.255865653840506,0.0836108706272236,NA
"101","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"LMA",-0.340023730506761,0.269321832401235,0.0836108706272236,NA
"102","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"LMA",-0.235505239615598,1.80093106072393,0.169334662096846,NA
"103","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"LMA",-0.0881310486499513,0.0176026628977019,0.204578674016341,NA
"104","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"LMA",-0.10146734967176,0.0159050770561524,0.204578674016341,NA
"105","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"LMA",-0.210393280708171,0.908068155612861,0.126594818119552,NA
"106","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"LMA",-0.357118072953801,0.0632359079681482,0.0775429387540803,NA
"107","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"LMA",-0.404847094317761,0.358577359984925,0.0775429387540803,NA
"108","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"LMA",-0.00356829219354806,0.0134375762621625,0.0914093844176083,NA
"109","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"LMA",-0.178300675004185,0.00932755375192629,0.0914093844176083,NA
"110","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"LMA",-0.306634081097522,0.0441275758983597,0.0914093844176083,NA
"111","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"LMA",-0.165569106808909,0.0201398862159319,0.0914093844176083,NA
"112","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"LMA",-0.330327767442783,1.81170829742371,0.14604470691887,NA
"113","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"LTh",-0.20061820287413,0.16781646263067,0.0811288718150877,NA
"114","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"LTh",-0.231588784981267,0.347393854155474,0.0811288718150877,NA
"115","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"LTh",-0.340228733806371,0.979104000661536,0.0811288718150877,NA
"116","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"LTh",-0.252084663493536,0.255865653840506,0.0963607457340833,NA
"117","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"LTh",-0.340023730506761,0.269321832401235,0.0963607457340833,NA
"118","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"LTh",-0.235505239615598,1.80093106072393,0.20278871189913,NA
"119","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"LTh",-0.0881310486499513,0.0176026628977019,0.333863698314458,NA
"120","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"LTh",-0.10146734967176,0.0159050770561524,0.333863698314458,NA
"121","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"LTh",-0.210393280708171,0.908068155612861,0.124499569818523,NA
"122","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"LTh",-0.357118072953801,0.0632359079681482,0.183271138337375,NA
"123","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"LTh",-0.404847094317761,0.358577359984925,0.183271138337375,NA
"124","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"LTh",-0.00356829219354806,0.0134375762621625,0.112313603430209,NA
"125","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"LTh",-0.178300675004185,0.00932755375192629,0.112313603430209,NA
"126","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"LTh",-0.306634081097522,0.0441275758983597,0.112313603430209,NA
"127","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"LTh",-0.165569106808909,0.0201398862159319,0.112313603430209,NA
"128","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"LTh",-0.330327767442783,1.81170829742371,0.111958531246599,NA
"129","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"LTO",-0.20061820287413,0.16781646263067,0.209602191242608,NA
"130","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"LTO",-0.231588784981267,0.347393854155474,0.209602191242608,NA
"131","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"LTO",-0.340228733806371,0.979104000661536,0.209602191242608,NA
"132","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"LTO",-0.252084663493536,0.255865653840506,0.166896814241293,NA
"133","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"LTO",-0.340023730506761,0.269321832401235,0.166896814241293,NA
"134","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"LTO",-0.235505239615598,1.80093106072393,0.192758465999731,NA
"135","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"LTO",-0.0881310486499513,0.0176026628977019,0.456336634381452,NA
"136","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"LTO",-0.10146734967176,0.0159050770561524,0.456336634381452,NA
"137","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"LTO",-0.210393280708171,0.908068155612861,0.155481502848486,NA
"138","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"LTO",-0.357118072953801,0.0632359079681482,0.183767787219568,NA
"139","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"LTO",-0.404847094317761,0.358577359984925,0.183767787219568,NA
"140","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"LTO",-0.00356829219354806,0.0134375762621625,0.207772361591789,NA
"141","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"LTO",-0.178300675004185,0.00932755375192629,0.207772361591789,NA
"142","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"LTO",-0.306634081097522,0.0441275758983597,0.207772361591789,NA
"143","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"LTO",-0.165569106808909,0.0201398862159319,0.207772361591789,NA
"144","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"LTO",-0.330327767442783,1.81170829742371,0.145489761884459,NA
"145","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"SSD",-0.20061820287413,0.16781646263067,0.166944125793547,NA
"146","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"SSD",-0.231588784981267,0.347393854155474,0.166944125793547,NA
"147","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"SSD",-0.340228733806371,0.979104000661536,0.166944125793547,NA
"148","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"SSD",-0.252084663493536,0.255865653840506,0.225366041624216,NA
"149","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"SSD",-0.340023730506761,0.269321832401235,0.225366041624216,NA
"150","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"SSD",-0.235505239615598,1.80093106072393,0.252504120308092,NA
"151","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"SSD",-0.0881310486499513,0.0176026628977019,0.131157618508266,NA
"152","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"SSD",-0.10146734967176,0.0159050770561524,0.131157618508266,NA
"153","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"SSD",-0.210393280708171,0.908068155612861,0.226587452131793,NA
"154","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"SSD",-0.357118072953801,0.0632359079681482,0.418954274744104,NA
"155","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"SSD",-0.404847094317761,0.358577359984925,0.418954274744104,NA
